batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable,Inverse_Fold_NO_CUT_over_Counts,Percent_of_Counts_plus_NO_CUT
6,0,1,DSB1,SSA,CHRIV_L03,A_to_B,768,15119,0.05079701038428468,5.0797010384284675,19.686197916666668,4.8341411216718075
6,0,1,DSB1,SSA,CHRIV_L06_2,A_to_B,1373,15119,0.09081288445002976,9.081288445002976,11.011653313911143,8.325248605384429
6,0,1,DSB1,SSA,CHRIV_L10_2,A_to_B,1053,15119,0.06964746345657781,6.964746345657781,14.358024691358025,6.511254019292605
6,0,1,DSB1,SSA,CHRIV_L12_2,A_to_B,1127,15119,0.07454196706131358,7.454196706131358,13.415261756876664,6.93709220731257
6,0,1,DSB1,SSA,CHRIV_L13,A_to_B,730,15119,0.048283616641312255,4.828361664131226,20.71095890410959,4.6059688308410625
6,0,1,DSB1,SSA,CHRIV_L15_2,A_to_B,1259,15119,0.0832727032211125,8.32727032211125,12.008737092930897,7.687141287092441
6,0,1,DSB1,SSA,CHRVII_990K,A_to_B,1365,15119,0.09028374892519346,9.028374892519347,11.076190476190476,8.280757097791797
6,0,1,DSB1,SSA,CHRVII_L03,A_to_B,682,15119,0.045108803492294465,4.5108803492294465,22.168621700879765,4.3161825200936645
6,0,1,DSB1,SSA,CHRVII_L06,A_to_B,960,15119,0.06349626298035585,6.349626298035584,15.748958333333333,5.970520554760868
6,0,1,DSB1,SSA,CHRVII_L09,A_to_B,1171,15119,0.07745221244791323,7.745221244791322,12.911187019641332,7.188459177409453
6,0,1,DSB1,SSA,CHRXII_L01,A_to_B,874,15119,0.05780805608836563,5.780805608836563,17.29862700228833,5.464890889764272
6,0,1,DSB1,SSA,CHRXII_L05,A_to_B,2963,15119,0.19597857001124414,19.597857001124414,5.102598717516031,16.38646167459352
6,0,1,DSB1,SSA,CHRXII_L07,A_to_B,926,15119,0.06124743699980158,6.124743699980157,16.32721382289417,5.771268307884076
6,0,1,DSB1,SSA,CHRXII_L12,A_to_B,1071,15119,0.07083801838745948,7.0838018387459485,14.11671335200747,6.615194564546016
6,0,1,DSB1,SSA,CHRXV_L01,A_to_B,1248,15119,0.0825451418744626,8.25451418744626,12.114583333333334,7.625099285146942
6,0,1,DSB1,SSA,CHRXV_L04,A_to_B,3,15119,1.9842582181361202e-4,0.0198425821813612,5039.666666666667,0.019838645681788124
6,0,1,DSB1,SSA,CHRXV_L15,A_to_B,974,15119,0.06442225014881936,6.442225014881936,15.52258726899384,6.05232088485677
6,0,1,DSB1,SSA,CHRXV_L17_2,A_to_B,1213,15119,0.08023017395330378,8.02301739533038,12.464138499587799,7.42713690913544
6,0,1,DSB1,SSA,CHRXV_L18_1PERCENT_CONTROL,A_to_B,187,15119,0.012368542893048482,1.2368542893048482,80.85026737967914,1.2217431072781915
6,0,1,DSB1,SSA,COMMON,A_to_B,8,15119,5.291355248362987e-4,0.05291355248362987,1889.875,0.052885568850399946
6,0,1,DSB1,SSA,NO_CUT,A_to_B,15119,15119,1,100,1,50
6,0,1,DSB2,INTACT,CHRIII_L02,C_to_D,213,21258,0.010019757267852102,1.0019757267852103,99.80281690140845,0.9920357691770295
6,0,1,DSB2,INTACT,CHRIII_L03,C_to_D,96,21258,0.004515946937623483,0.4515946937623483,221.4375,0.44956448440573193
6,0,1,DSB2,INTACT,CHRIII_L04,C_to_D,348,21258,0.016370307648885127,1.6370307648885125,61.08620689655172,1.6106637045265204
6,0,1,DSB2,INTACT,CHRIV_L01,C_to_D,61,21258,0.002869507949948255,0.28695079499482545,348.4918032786885,0.2861297434213612
6,0,1,DSB2,INTACT,CHRIV_L03,C_to_D,407,21258,0.019145733370966225,1.9145733370966225,52.23095823095823,1.8786060466189707
6,0,1,DSB2,INTACT,CHRIV_L06_2,C_to_D,34,21258,0.0015993978737416502,0.15993978737416503,625.2352941176471,0.15968438850272404
6,0,1,DSB2,INTACT,CHRIV_L10_2,C_to_D,184,21258,0.008655564963778343,0.8655564963778343,115.53260869565217,0.8581289058856449
