batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable
6,0,1,DSB2,INTACT,CHRXV_L18_1PERCENT_CONTROL,C_to_D,33,21258,0.0015523567598080723,0.15523567598080723
6,0,1,DSB2,INTACT,COMMON,C_to_D,1715641,21258,80.70566375011761,8070.56637501176
6,0,1,DSB2,INTACT,NO_CUT,C_to_D,21258,21258,1,100
6,0,1,DSB2,SSA,CHRIII_L02,C_to_D,5,10877,4.596855750666544e-4,0.04596855750666544
6,0,1,DSB2,SSA,CHRIII_L04,C_to_D,3,10877,2.7581134503999266e-4,0.027581134503999266
6,0,1,DSB2,SSA,CHRIV_L03,C_to_D,3,10877,2.7581134503999266e-4,0.027581134503999266
6,0,1,DSB2,SSA,CHRIV_L10_2,C_to_D,2,10877,1.8387423002666178e-4,0.018387423002666176
6,0,1,DSB2,SSA,CHRIV_L12_2,C_to_D,2,10877,1.8387423002666178e-4,0.018387423002666176
6,0,1,DSB2,SSA,CHRIV_L15_2,C_to_D,7,10877,6.435598050933162e-4,0.06435598050933161
6,0,1,DSB2,SSA,CHRVII_990K,C_to_D,2,10877,1.8387423002666178e-4,0.018387423002666176
6,0,1,DSB2,SSA,CHRVII_L03,C_to_D,7,10877,6.435598050933162e-4,0.06435598050933161
6,0,1,DSB2,SSA,CHRVII_L06,C_to_D,1,10877,9.193711501333089e-5,0.009193711501333088
6,0,1,DSB2,SSA,CHRVII_L09,C_to_D,6,10877,5.516226900799853e-4,0.05516226900799853
6,0,1,DSB2,SSA,CHRXII_L01,C_to_D,11,10877,0.0010113082651466397,0.10113082651466397
6,0,1,DSB2,SSA,CHRXII_L07,C_to_D,1,10877,9.193711501333089e-5,0.009193711501333088
6,0,1,DSB2,SSA,CHRXII_L12,C_to_D,1,10877,9.193711501333089e-5,0.009193711501333088
6,0,1,DSB2,SSA,CHRXV_L04,C_to_D,2,10877,1.8387423002666178e-4,0.018387423002666176
6,0,1,DSB2,SSA,CHRXV_L15,C_to_D,2,10877,1.8387423002666178e-4,0.018387423002666176
6,0,1,DSB2,SSA,COMMON,C_to_D,24871,10877,2.2865679874965523,228.65679874965522
6,0,1,DSB2,SSA,NO_CUT,C_to_D,10877,10877,1,100
6,0,1,TRANS,INTACT,CHRIII_L02,A_to_D,124,418,0.2966507177033493,29.66507177033493
6,0,1,TRANS,INTACT,CHRIII_L02,C_to_B,3,106,0.02830188679245283,2.830188679245283
6,0,1,TRANS,INTACT,CHRIII_L03,A_to_D,35,418,0.08373205741626795,8.373205741626794
6,0,1,TRANS,INTACT,CHRIII_L04,A_to_D,512,418,1.2248803827751196,122.48803827751196
6,0,1,TRANS,INTACT,CHRIV_L01,A_to_D,152,418,0.36363636363636365,36.36363636363637
6,0,1,TRANS,INTACT,CHRIV_L03,A_to_D,161,418,0.38516746411483255,38.516746411483254
6,0,1,TRANS,INTACT,CHRIV_L03,C_to_B,1,106,0.009433962264150943,0.9433962264150944
6,0,1,TRANS,INTACT,CHRIV_L06_2,A_to_D,105,418,0.2511961722488038,25.119617224880383
6,0,1,TRANS,INTACT,CHRIV_L10_2,A_to_D,199,418,0.47607655502392343,47.60765550239235
6,0,1,TRANS,INTACT,CHRIV_L12_2,A_to_D,157,418,0.37559808612440193,37.55980861244019
6,0,1,TRANS,INTACT,CHRIV_L12_2,C_to_B,1,106,0.009433962264150943,0.9433962264150944
6,0,1,TRANS,INTACT,CHRIV_L13,A_to_D,96,418,0.22966507177033493,22.966507177033492
6,0,1,TRANS,INTACT,CHRIV_L15_2,A_to_D,175,418,0.41866028708133973,41.866028708133975
6,0,1,TRANS,INTACT,CHRIV_L15_2,C_to_B,8,106,0.07547169811320754,7.547169811320755
6,0,1,TRANS,INTACT,CHRVII_990K,A_to_D,88,418,0.21052631578947367,21.05263157894737
6,0,1,TRANS,INTACT,CHRVII_L03,A_to_D,96,418,0.22966507177033493,22.966507177033492
