batch,time_point,time_label,pair_class,broken_status,allele,count_sum,pct_within_group
6,120,T120,TRANS,unbroken,7_L06,325,2.8290389972144845
6,120,T120,TRANS,unbroken,7_L09,292,2.5417827298050137
8,0,T0,CIS,broken,12_L01,7155,4.782242540904716
8,0,T0,CIS,broken,12_L05,2998,2.0037963854133247
8,0,T0,CIS,broken,12_L07,4925,3.2917602395465724
8,0,T0,CIS,broken,12_L12,9546,6.380333654154636
8,0,T0,CIS,broken,15_L01,11406,7.623516201475778
8,0,T0,CIS,broken,15_L04,21,0.014035931985883862
8,0,T0,CIS,broken,15_L15,3935,2.6300663030691904
8,0,T0,CIS,broken,15_L17_2,4079,2.726312693829537
8,0,T0,CIS,broken,15_L18,507,0.33886750080205325
8,0,T0,CIS,broken,3_L02,11179,7.471794460485509
8,0,T0,CIS,broken,3_L03,6951,4.645893487327559
8,0,T0,CIS,broken,3_L04,18031,12.05151855416533
8,0,T0,CIS,broken,4_L01,6025,4.026975724521441
8,0,T0,CIS,broken,4_L03,11631,7.7739011870388195
8,0,T0,CIS,broken,4_L06_2,5507,3.6807560688696395
8,0,T0,CIS,broken,4_L10_2,7176,4.7962784728906
8,0,T0,CIS,broken,4_L12_2,5884,3.9327344669019357
8,0,T0,CIS,broken,4_L13,5237,3.50029408619399
8,0,T0,CIS,broken,4_L15_2,3975,2.6568014116137313
8,0,T0,CIS,broken,7_L03,6351,4.2448668591594485
8,0,T0,CIS,broken,7_L06,9969,6.663057427013154
8,0,T0,CIS,broken,7_L09,7128,4.764196342637151
8,0,T0,TRANS,unbroken,12_L01,164,1.269055172947458
8,0,T0,TRANS,unbroken,12_L05,178,1.3773891511258995
8,0,T0,TRANS,unbroken,12_L07,600,4.642884779076066
8,0,T0,TRANS,unbroken,12_L12,3499,27.075756403311924
8,0,T0,TRANS,unbroken,15_L01,680,5.261936082952874
8,0,T0,TRANS,unbroken,15_L04,4,0.030952565193840438
8,0,T0,TRANS,unbroken,15_L15,329,2.545848487193376
8,0,T0,TRANS,unbroken,15_L17_2,212,1.6404859552735434
8,0,T0,TRANS,unbroken,15_L18,4,0.030952565193840438
8,0,T0,TRANS,unbroken,3_L02,1301,10.067321829296603
8,0,T0,TRANS,unbroken,3_L03,296,2.2904898243441925
8,0,T0,TRANS,unbroken,3_L04,1642,12.706028012071501
8,0,T0,TRANS,unbroken,4_L01,207,1.6017952487812428
8,0,T0,TRANS,unbroken,4_L03,367,2.8398978565348605
8,0,T0,TRANS,unbroken,4_L06_2,280,2.166679563568831
8,0,T0,TRANS,unbroken,4_L10_2,268,2.0738218679873093
8,0,T0,TRANS,unbroken,4_L12_2,249,1.9267971833165674
8,0,T0,TRANS,unbroken,4_L13,844,6.530991255900333
8,0,T0,TRANS,unbroken,4_L15_2,195,1.5089375531997213
8,0,T0,TRANS,unbroken,7_L03,603,4.666099202971446
8,0,T0,TRANS,unbroken,7_L06,314,2.4297763677164745
8,0,T0,TRANS,unbroken,7_L09,687,5.316103072042096
8,120,T120,CIS,broken,12_L01,973,1.0774239270053594
8,120,T120,CIS,broken,12_L05,6311,6.988306683793241
8,120,T120,CIS,broken,12_L07,643,0.7120077955441378
8,120,T120,CIS,broken,12_L12,971,1.0752092837843823
8,120,T120,CIS,broken,15_L01,7690,8.515303184656952
8,120,T120,CIS,broken,15_L04,20,0.022146432209771007
8,120,T120,CIS,broken,15_L15,7147,7.914027550161669
8,120,T120,CIS,broken,15_L17_2,198,0.21924967887673297
8,120,T120,CIS,broken,15_L18,439,0.48611418700447356
8,120,T120,CIS,broken,3_L02,19525,21.620454444788944
8,120,T120,CIS,broken,3_L03,323,0.35766488018780174
8,120,T120,CIS,broken,3_L04,643,0.7120077955441378
8,120,T120,CIS,broken,4_L01,6149,6.808920582894096
8,120,T120,CIS,broken,4_L03,9900,10.962483943836649
8,120,T120,CIS,broken,4_L06_2,6796,7.525357664880188
8,120,T120,CIS,broken,4_L10_2,7000,7.751251273419852
8,120,T120,CIS,broken,4_L12_2,9932,10.997918235372282
8,120,T120,CIS,broken,4_L13,168,0.18603003056207645
8,120,T120,CIS,broken,4_L15_2,4637,5.1346503078354075
8,120,T120,CIS,broken,7_L03,100,0.11073216104885503
8,120,T120,CIS,broken,7_L06,571,0.6322806395889622
8,120,T120,CIS,broken,7_L09,172,0.19045931700403065
8,120,T120,TRANS,unbroken,12_L01,46,0.6061404664646198
8,120,T120,TRANS,unbroken,12_L05,189,2.4904466991698513
8,120,T120,TRANS,unbroken,12_L07,64,0.8433258663855581
8,120,T120,TRANS,unbroken,12_L12,174,2.292792199235736
8,120,T120,TRANS,unbroken,15_L01,930,12.254578995915141
8,120,T120,TRANS,unbroken,15_L04,4,0.05270786664909738
8,120,T120,TRANS,unbroken,15_L15,962,12.676241929107919
8,120,T120,TRANS,unbroken,15_L17_2,7,0.09223876663592041
8,120,T120,TRANS,unbroken,15_L18,8,0.10541573329819476
8,120,T120,TRANS,unbroken,3_L02,1380,18.184213993938595
8,120,T120,TRANS,unbroken,3_L03,19,0.25036236658321254
8,120,T120,TRANS,unbroken,3_L04,64,0.8433258663855581
8,120,T120,TRANS,unbroken,4_L01,404,5.323494531558835
8,120,T120,TRANS,unbroken,4_L03,1368,18.026090393991304
8,120,T120,TRANS,unbroken,4_L06_2,753,9.922255896692581
8,120,T120,TRANS,unbroken,4_L10_2,584,7.695348530768217
8,120,T120,TRANS,unbroken,4_L12_2,242,3.1888259322703916
8,120,T120,TRANS,unbroken,4_L13,10,0.13176966662274345
8,120,T120,TRANS,unbroken,4_L15_2,319,4.203452365265516
8,120,T120,TRANS,unbroken,7_L03,4,0.05270786664909738
8,120,T120,TRANS,unbroken,7_L06,35,0.46119383317960205
8,120,T120,TRANS,unbroken,7_L09,23,0.3030702332323099
