locus_id,III_L02,III_L03,III_L04,IV_L01,IV_L03,IV_L06_2,IV_L10_2,IV_L12_2,IV_L13,IV_L15_2,VII_L03,VII_L06,VII_L09,XII_L01,XII_L05,XII_L07,XII_L12,XV_L01,XV_L15,XV_L17_2,XV_L18
VII_L03,0.7957279097203177,0.8211720930237664,0.5623224614258796,0.8943431826756993,0.7055700754332382,0.8600284021706412,0.8034676288234538,0.7952861089113343,0.9358415958198353,0.8165108778729502,NA,0.7616582774758505,0.7612578829534838,0.9466011001433516,0.6258434575741858,0.8773962601616963,0.5703008497659937,0.6284125583750724,0.856260408755582,0.7356978696357545,0.5790878411110483
VII_L06,0.6523668708264106,0.8211729910206911,0.3415927268281926,0.8447002310410748,0.9612036415544839,0.8263234805114525,0.5166578478257035,0.656956030363356,0.878394770810393,0.6739974480733546,0.7616582774758505,NA,0.9043043687240792,0.8129348459127286,0.3156649909087533,0.6690016381535552,0.9292851930828899,0.8821666528747972,0.8087701596627627,0.769644438478663,0.6214745332272316
VII_L09,0.7485649097653881,0.7077613224328735,0.2831177306566858,0.8442723407317837,0.9445466032080712,0.7531479060841233,0.38238266818965333,0.5301037896486641,0.8442528973599365,0.6110067003933737,0.7612578829534838,0.9043043687240792,NA,0.8138539007580117,0.24808312854691308,0.5171590647312894,0.9309956388178209,0.8575937575501807,0.837197641558837,0.6084316941584365,0.4697962118286559
XII_L01,0.8127831920474208,0.8896814497263495,0.6374853571423519,0.9421971608852316,0.7345895363745069,0.9303205835775256,0.6495565321323248,0.8207923130577147,0.9685030842750959,0.8744784463037288,0.9466011001433516,0.8129348459127286,0.8138539007580117,NA,0.6586048043891014,0.788220245265545,0.643236091358694,0.6604500356097021,0.8979737826570593,0.7774669610479491,0.7247443310859407
XII_L05,0.6145752397244229,0.527192996363087,0.9657628382021877,0.6960203142044671,0.1494980368348701,0.7753641566353373,0.6714405353480609,0.8296591118313873,0.6670197324974847,0.8642260699321235,0.6258434575741858,0.3156649909087533,0.24808312854691308,0.6586048043891014,NA,0.7362863580933571,0.055718934004439065,0.1849475135872569,0.5838164291976397,0.7534128400514856,0.6818871310544627
XII_L07,0.7331010389655298,0.7496545792190221,0.6686177221087639,0.7941510249048149,0.5625318625832169,0.8334450454049107,0.9328534375827636,0.8712706881383916,0.8195521867990168,0.7999437253198931,0.8773962601616963,0.6690016381535552,0.5171590647312894,0.788220245265545,0.7362863580933571,NA,0.3916397958362318,0.4553015079090856,0.7822412106668013,0.8379060543723363,0.6217634325831207
XII_L12,0.5355563035121399,0.6550309580356776,0.10057002120367832,0.6970322112698796,0.9680826740122321,0.6479414085241557,0.26613216275360185,0.39336812605630783,0.7189224049509191,0.44450344946225684,0.5703008497659937,0.9292851930828899,0.9309956388178209,0.643236091358694,0.055718934004439065,0.3916397958362318,NA,0.922580750571209,0.6843590489582893,0.5426104613394634,0.387449728210222
XV_L01,0.41429641123037103,0.70145830544891,0.15177973594273667,0.6833829407386879,0.8930572083297114,0.6857175379915376,0.4338089632454039,0.4016515380887265,0.7636482020863589,0.4807033397876137,0.6284125583750724,0.8821666528747972,0.8575937575501807,0.6604500356097021,0.1849475135872569,0.4553015079090856,0.922580750571209,NA,0.5976152116941883,0.5241319197041252,0.29411103728494514
XV_L15,0.9300563038850058,0.8205755259693865,0.6014386300786001,0.9024914225776894,0.800569975855293,0.8739716181160356,0.6317774395353678,0.7465905614144254,0.8872961833707939,0.7775383428897745,0.856260408755582,0.8087701596627627,0.837197641558837,0.8979737826570593,0.5838164291976397,0.7822412106668013,0.6843590489582893,0.5976152116941883,NA,0.7809585229492222,0.6641230898236491
XV_L17_2,0.7405812811480181,0.6746875485957855,0.8113318444959273,0.8928393056489892,0.6181317498619269,0.8944702878497771,0.6490220667676593,0.9242455285000547,0.8541384275326211,0.9290302036971279,0.7356978696357545,0.769644438478663,0.6084316941584365,0.7774669610479491,0.7534128400514856,0.8379060543723363,0.5426104613394634,0.5241319197041252,0.7809585229492222,NA,0.8838419911569423
XV_L18,0.636760888035838,0.6049371398660182,0.7932534567387944,0.7799434374522831,0.43189027218692894,0.7785289722537202,0.3466936574895134,0.8560313258424168,0.7201009357541476,0.8755477065848373,0.5790878411110483,0.6214745332272316,0.4697962118286559,0.7247443310859407,0.6818871310544627,0.6217634325831207,0.387449728210222,0.29411103728494514,0.6641230898236491,0.8838419911569423,NA
