batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Counts,Percent_of_Uncuttable
8,180,1,DSB1,SSA,NO_CUT,A_to_B,127246,127246,100
8,180,1,DSB2,INTACT,CHRIII_L02,C_to_D,31,5283,0.5867878099564642
8,180,1,DSB2,INTACT,CHRIII_L03,C_to_D,147,5283,2.782509937535491
8,180,1,DSB2,INTACT,CHRIII_L04,C_to_D,25,5283,0.47321597577134206
8,180,1,DSB2,INTACT,CHRIV_L01,C_to_D,22,5283,0.416430058678781
8,180,1,DSB2,INTACT,CHRIV_L03,C_to_D,14,5283,0.26500094643195155
8,180,1,DSB2,INTACT,CHRIV_L06_2,C_to_D,24,5283,0.4542873367404884
8,180,1,DSB2,INTACT,CHRIV_L10_2,C_to_D,4,5283,0.07571455612341473
8,180,1,DSB2,INTACT,CHRIV_L12_2,C_to_D,128,5283,2.422865795949271
8,180,1,DSB2,INTACT,CHRIV_L13,C_to_D,8,5283,0.15142911224682945
8,180,1,DSB2,INTACT,CHRIV_L15_2,C_to_D,63,5283,1.192504258943782
8,180,1,DSB2,INTACT,CHRVII_990K,C_to_D,13,5283,0.24607230740109787
8,180,1,DSB2,INTACT,CHRVII_L03,C_to_D,76,5283,1.4385765663448797
8,180,1,DSB2,INTACT,CHRVII_L06,C_to_D,21,5283,0.3975014196479273
8,180,1,DSB2,INTACT,CHRVII_L09,C_to_D,7,5283,0.13250047321597577
8,180,1,DSB2,INTACT,CHRXII_L01,C_to_D,1,5283,0.01892863903085368
8,180,1,DSB2,INTACT,CHRXII_L05,C_to_D,33,5283,0.6246450880181715
8,180,1,DSB2,INTACT,CHRXII_L07,C_to_D,30,5283,0.5678591709256104
8,180,1,DSB2,INTACT,CHRXII_L12,C_to_D,14,5283,0.26500094643195155
8,180,1,DSB2,INTACT,CHRXV_L01,C_to_D,1,5283,0.01892863903085368
8,180,1,DSB2,INTACT,CHRXV_L04,C_to_D,56,5283,1.0600037857278062
8,180,1,DSB2,INTACT,CHRXV_L15,C_to_D,16,5283,0.3028582244936589
8,180,1,DSB2,INTACT,CHRXV_L17_2,C_to_D,4,5283,0.07571455612341473
8,180,1,DSB2,INTACT,CHRXV_L18_1PERCENT_CONTROL,C_to_D,3,5283,0.05678591709256105
8,180,1,DSB2,INTACT,COMMON,C_to_D,527722,5283,9989.059246640167
8,180,1,DSB2,INTACT,NO_CUT,C_to_D,5283,5283,100
8,180,1,DSB2,SSA,CHRIII_L02,C_to_D,68,34704,0.19594283079760258
8,180,1,DSB2,SSA,CHRIII_L03,C_to_D,508,34704,1.4638082065467957
8,180,1,DSB2,SSA,CHRIII_L04,C_to_D,105,34704,0.30255878284923926
8,180,1,DSB2,SSA,CHRIV_L01,C_to_D,54,34704,0.15560165975103735
8,180,1,DSB2,SSA,CHRIV_L03,C_to_D,41,34704,0.1181420009220839
8,180,1,DSB2,SSA,CHRIV_L06_2,C_to_D,91,34704,0.26221761180267406
8,180,1,DSB2,SSA,CHRIV_L10_2,C_to_D,14,34704,0.04034117104656524
8,180,1,DSB2,SSA,CHRIV_L12_2,C_to_D,365,34704,1.051751959428308
8,180,1,DSB2,SSA,CHRIV_L13,C_to_D,34,34704,0.09797141539880129
8,180,1,DSB2,SSA,CHRIV_L15_2,C_to_D,148,34704,0.4264638082065468
8,180,1,DSB2,SSA,CHRVII_990K,C_to_D,59,34704,0.17000922083909636
8,180,1,DSB2,SSA,CHRVII_L03,C_to_D,297,34704,0.8558091286307054
8,180,1,DSB2,SSA,CHRVII_L06,C_to_D,87,34704,0.25069156293222683
8,180,1,DSB2,SSA,CHRVII_L09,C_to_D,12,34704,0.034578146611341634
8,180,1,DSB2,SSA,CHRXII_L01,C_to_D,1,34704,0.002881512217611803
8,180,1,DSB2,SSA,CHRXII_L05,C_to_D,98,34704,0.28238819732595666
8,180,1,DSB2,SSA,CHRXII_L07,C_to_D,146,34704,0.4207007837713232
8,180,1,DSB2,SSA,CHRXII_L12,C_to_D,68,34704,0.19594283079760258
8,180,1,DSB2,SSA,CHRXV_L01,C_to_D,7,34704,0.02017058552328262
8,180,1,DSB2,SSA,CHRXV_L04,C_to_D,212,34704,0.6108805901337022
